#            mprod               mint              mhscp              width               c100
     5.5000000e+01      5.3000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.5000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.5000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     7.0000000e+01      6.0000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     7.0000000e+01      6.5000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.5000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     8.0000000e+01      6.4000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     8.0000000e+01      7.5000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     8.0000000e+01      7.8000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     8.5000000e+01      8.0000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     9.0000000e+01      8.0000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     9.0000000e+01      8.2000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     9.0000000e+01      8.5000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.0000000e+02      5.5000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.0000000e+02      7.2000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.0000000e+02      8.0000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.0000000e+02      8.7000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.0000000e+02      9.5000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.0000000e+02      9.5000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.0500000e+02      1.0300000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.1000000e+02      8.0000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.1000000e+02      9.2000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
