#            mprod              mhscp              width               c100
     5.5000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00
     6.0000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00
     7.0000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00
     8.0000000e+01      5.0000000e+01      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00
     8.0000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     8.0000000e+01      7.5000000e+01      1.0000000e+06      0.0000000e+00
     8.5000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     8.5000000e+01      7.5000000e+01      1.0000000e+06      0.0000000e+00
     9.0000000e+01      7.5000000e+01      0.0000000e+00      0.0000000e+00
     9.0000000e+01      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.0000000e+02      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.0000000e+02      5.0000000e+01      1.0000000e+06      0.0000000e+00
     1.0000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.0000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.0500000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.0500000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.1000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.1000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.1000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.1000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.2000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.2000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.2000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.2000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.2500000e+02      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.2500000e+02      5.0000000e+01      1.0000000e+06      0.0000000e+00
     1.3000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.3000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.4000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.4000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.4000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.4000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+02      5.0000000e+01      0.0000000e+00      0.0000000e+00
     1.5000000e+02      5.0000000e+01      1.0000000e+06      0.0000000e+00
     1.5500000e+02      1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.5500000e+02      1.5000000e+02      1.0000000e+06      0.0000000e+00
     1.6000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.6000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.6000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.6000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.6000000e+02      1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.6000000e+02      1.5000000e+02      1.0000000e+06      0.0000000e+00
     1.7000000e+02      1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.7000000e+02      1.5000000e+02      1.0000000e+06      0.0000000e+00
     1.8000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.8000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.8000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.8000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.8000000e+02      1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.8000000e+02      1.5000000e+02      1.0000000e+06      0.0000000e+00
     2.0000000e+02      5.0000000e+01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      5.0000000e+01      1.0000000e+06      0.0000000e+00
     2.0000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     2.0000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     2.0000000e+02      1.5000000e+02      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.5000000e+02      1.0000000e+06      0.0000000e+00
     2.0500000e+02      2.0000000e+02      0.0000000e+00      4.8006542e-01
     2.0500000e+02      2.0000000e+02      1.0000000e-19      4.7800042e-01
     2.0500000e+02      2.0000000e+02      3.2000000e-18      4.1732619e-01
     2.0500000e+02      2.0000000e+02      1.0000000e-17      3.0673645e-01
