#            mhscp              width               c300
     4.5000000e+01      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e+06      0.0000000e+00
     5.0000000e+01      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e+06      0.0000000e+00
     5.5000000e+01      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e+06      0.0000000e+00
     6.0000000e+01      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e+06      0.0000000e+00
     6.5000000e+01      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e+06      0.0000000e+00
     7.5000000e+01      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e+06      0.0000000e+00
     8.0000000e+01      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e+06      0.0000000e+00
     1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.2500000e+02      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.0000000e+06      0.0000000e+00
     1.7500000e+02      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e+06      0.0000000e+00
     2.0000000e+02      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e+06      0.0000000e+00
     2.2500000e+02      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.0000000e+06      0.0000000e+00
     2.5000000e+02      0.0000000e+00      0.0000000e+00
     2.5000000e+02      1.0000000e+06      0.0000000e+00
     2.7500000e+02      0.0000000e+00      0.0000000e+00
     2.7500000e+02      1.0000000e+06      0.0000000e+00
     3.0000000e+02      0.0000000e+00      0.0000000e+00
     3.0000000e+02      1.0000000e+06      0.0000000e+00
     3.2500000e+02      0.0000000e+00      0.0000000e+00
     3.2500000e+02      1.0000000e+06      0.0000000e+00
     3.5000000e+02      0.0000000e+00      0.0000000e+00
     3.5000000e+02      1.0000000e+06      0.0000000e+00
     3.7500000e+02      0.0000000e+00      0.0000000e+00
     3.7500000e+02      1.0000000e+06      0.0000000e+00
     4.0000000e+02      0.0000000e+00      0.0000000e+00
     4.0000000e+02      1.0000000e+06      0.0000000e+00
     4.2500000e+02      0.0000000e+00      0.0000000e+00
     4.2500000e+02      1.0000000e+06      0.0000000e+00
     4.5000000e+02      0.0000000e+00      0.0000000e+00
     4.5000000e+02      1.0000000e+06      0.0000000e+00
     4.7500000e+02      0.0000000e+00      0.0000000e+00
     4.7500000e+02      1.0000000e+06      0.0000000e+00
     5.0000000e+02      0.0000000e+00      0.0000000e+00
     5.0000000e+02      1.0000000e+06      0.0000000e+00
     5.5000000e+02      0.0000000e+00      4.1714366e-01
